Publication Type,bibtex
Journal Article,article
Dictionary,book
Festschrift,book
Monograph,book
Textbook,book
Book Chapter,incollection
Laboratory Manual,manual
Congress,proceedings
Technical Report,techreport
Unpublished Work,unpublished
